기준월,영업부코드,영업지점코드,상태,출고예정일,인도조건,박스,금액
2026-09,5400,541,C2,2026-09-17,EXW,60407,786155.33
2026-09,5400,541,C2,2026-09-18,EXW,60856,721510.23
2026-09,5400,541,C2,2026-09-21,EXW,10260,122162.31
2026-09,5400,541,C2,2026-09-22,EXW,13509,166437.06
2026-09,5400,541,C2,2026-09-23,EXW,29033,379440.95
2026-09,5400,541,C2,2026-09-24,EXW,14987,190010.81
2026-09,5400,541,C2,2026-09-25,EXW,4828,69697.52
2026-09,5400,541,C3,,EXW,221930,2575066.57
2026-09,5400,541,C4,,EXW,333948,3864687.24
2026-09,5400,541,S,,EXW,5016,70392.98999999999
2026-09,5400,542,C,,EXW,19078,297015.9
2026-09,5400,542,C2,,EXW,125490,1018642.83
2026-09,5400,542,C2,2026-09-14,DDP,1566,30581.82
2026-09,5400,542,C2,2026-09-14,EXW,9592,129861.03
2026-09,5400,542,C2,2026-09-15,EXW,27197,305706.6
2026-09,5400,542,C2,2026-09-16,EXW,15900,190426.67
2026-09,5400,542,C2,2026-09-17,EXW,33982,362493.65
2026-09,5400,542,C2,2026-09-19,EXW,6600,98029.32
2026-09,5400,542,C3,,DDP,2324,75159.72
2026-09,5400,542,C3,,EXW,80338,1000213.38
2026-09,5400,542,C4,,DDP,26791,148630.36
2026-09,5400,542,C4,,EXW,132512,1503397.66
2026-09,5400,542,S,,EXW,5020,59267.81
2026-09,5400,543,C,,EXW,326,3214.34
2026-09,5400,543,C2,,DDP,6281,84641.56
2026-09,5400,543,C2,,EXW,36309,540660.8
2026-09,5400,543,C3,,EXW,12015,198141.96
2026-09,5400,543,C4,,EXW,46765,626682.93
2026-09,5400,544,C2,,EXW,53064,318168.0
2026-09,5400,544,C2,2026-09-15,EXW,4248,23621.76
2026-09,5400,544,C3,,EXW,2592,19353.6
2026-09,5400,544,C4,,EXW,93528,583070.4
2026-09,5400,544,S,,EXW,432,3628.7999999999997
2026-09,5500,524,C2,2026-09-14,EXW,5760,52490.88
2026-09,5500,524,C2,2026-09-15,EXW,28872,315972.07
2026-09,5500,524,C2,2026-09-16,EXW,12240,165758.11
2026-09,5500,524,C2,2026-09-28,EXW,5760,52490.88
2026-09,5500,524,C3,,EXW,22914,259913.16
2026-09,5500,524,C4,,EXW,195996,1917218.68
